Date,Event
2024-08-22,Week 1: Introduction to the course
2024-08-27,Week 2: Chapter 1 (pages 3-15) from Mortimer Adler
2024-08-29,Chapter 2 from Adler (16-20) and Chapter 5 (45-58)
2024-09-03,Week 3: Chapter 7 (75-95) from Adler and Chapter 9 (113-135) 'The Forgiveness of God' from Herbert McCabe in class
2024-09-05,Chapter 10 (136-149) from Adler and Chapter 11 (150-165) 'Faith' from Herbert McCabe in class
2024-09-10,Week 4: Chapter 18 from Adler (264-288) Reading Genesis 1-3 in class
2024-09-12,Syntopical Reading Chapter 20 from Adler (301-317) Genesis 12-18:15
2024-09-17,"Week 5: Exodus 1-21, 24"
2024-09-19,Absalom Jones
2024-09-24,Week 6: Luke 1-7
2024-09-26,Luke 8-15
2024-10-01,Week 7: Luke 16-24
2024-10-03,Confessions 1
2024-10-08,Week 8: Confessions 2
2024-10-10,Confessions 4
2024-10-15,Week 9 - Mid Term Week: Confessions 7
2024-10-17,Confessions 8
2024-10-22,Week 10: First Paper Due
2024-10-24,Confessions 9
2024-10-29,Week 11: NO CLASS FALL BREAK
2024-10-31,The Sunflower 1-95
2024-11-05,Week 12: NO CLASS PROFESSOR AT CONFERENCE
2024-11-07,The Sunflower 96-130
2024-11-12,Week 13: The Sunflower 131-190
2024-11-14,Tattoos on the Heart (TOTH) 1-2
2024-11-19,Week 14: Tattoos on the Heart (TOTH) 3-5
2024-11-21,Tattoos on the Heart (TOTH) 6-7
2024-11-26,Week 15: Tattoos on the Heart (TOTH) 8-9
2024-11-28,NO CLASS THANKSGIVING BREAK
2024-12-03,Week 16: Malcolm X Film
2024-12-05,Malcolm X Film
2024-12-13,Final Exam
